ParticleFlux,MagnitudeofEnergyFlux,EnergyFluxX,EnergyFluxY,TimeStep
0,0.0,0.0,0.0,1
0,0.0,0.0,0.0,2
0,0.0,0.0,0.0,3
0,0.0,0.0,0.0,4
0,0.0,0.0,0.0,5
0,0.0,0.0,0.0,6
0,0.0,0.0,0.0,7
0,0.0,0.0,0.0,8
0,0.0,0.0,0.0,9
0,0.0,0.0,0.0,10
0,0.0,0.0,0.0,11
0,0.0,0.0,0.0,12
0,0.0,0.0,0.0,13
0,0.0,0.0,0.0,14
0,0.0,0.0,0.0,15
0,0.0,0.0,0.0,16
0,0.0,0.0,0.0,17
0,0.0,0.0,0.0,18
0,0.0,0.0,0.0,19
0,0.0,0.0,0.0,20
0,0.0,0.0,0.0,21
0,0.0,0.0,0.0,22
0,0.0,0.0,0.0,23
0,0.0,0.0,0.0,24
0,0.0,0.0,0.0,25
0,0.0,0.0,0.0,26
0,0.0,0.0,0.0,27
0,0.0,0.0,0.0,28
0,0.0,0.0,0.0,29
0,0.0,0.0,0.0,30
0,0.0,0.0,0.0,31
0,0.0,0.0,0.0,32
0,0.0,0.0,0.0,33
0,0.0,0.0,0.0,34
0,0.0,0.0,0.0,35
0,0.0,0.0,0.0,36
0,0.0,0.0,0.0,37
0,0.0,0.0,0.0,38
0,0.0,0.0,0.0,39
0,0.0,0.0,0.0,40
0,0.0,0.0,0.0,41
0,0.0,0.0,0.0,42
0,0.0,0.0,0.0,43
0,0.0,0.0,0.0,44
0,0.0,0.0,0.0,45
0,0.0,0.0,0.0,46
0,0.0,0.0,0.0,47
0,0.0,0.0,0.0,48
1,0.17871,0.00045,0.17871,49
1,0.1787,0.00045,0.1787,50
1,0.17866,0.00045,0.17866,51
1,0.17864,0.00045,0.17864,52
1,0.17861,0.00045,0.17861,53
1,0.17859,0.00045,0.17859,54
1,0.17858,0.00045,0.17857,55
2,0.27711,0.00176,0.2771,56
2,0.27887,0.00178,0.27887,57
2,0.28061,0.00181,0.2806,58
2,0.28236,0.00183,0.28235,59
2,0.28408,0.00185,0.28407,60
2,0.2858,0.00188,0.2858,61
